,Title,Location,Link,Company,Date Extracted,Cluster,Tag
867,Python Developer,India (Remote),https://www.linkedin.com/jobs/view/4057298342/?eBP=BUDGET_EXHAUSTED_JOB&refId=rLYCXS8NAjfgkWLCvplD7A%3D%3D&trackingId=zTGFZB7JqBkMJKaNROfAsw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Tech Mahindra,2024-10-27,5,Python and SQL Development
875,Python Developer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4049501329/?eBP=CwEAAAGSzQD5eTK_3cq5TSeFtHG33cyiv0VVTcOd_eNE6wq0QWyWMpUeTQhVBRGJHGHnzsjn8jQh6ySNUSeGvpS9snmtUOnjpPzlpdTHorDbSKuqVZ9s84SReBjvODaSEFmvHrze3JKfJbsdfHouCSVLcuZkEYARlQV5yOqRqAT5ZysBhUFowzJaBjqePx1_QRlTw9ncfPhFib0rVU2OjrvMk26sukMZ9SN2Jp3gbXt1a3qGLpuvHyUsKBrhHhCRGqcKe8p-gfg5Ck7CFdqZKx8rkJD0QfQpJnhOdYU9oILxgcjDqNIyOPDkXghTzLNm2Z-ADwiAoMU1OQi4aAEzNTAFLJICVS_XZwvfSx1uNLp4dKaY5nLojSai0HlqF9coZh40XlbKoXfWkcEN8xv2qgJVvKTaSo6sQ3OtBMBxtaETuCO7wGeuPGIg1rqJ8OItogCao3L6TRa2SQ&refId=rLYCXS8NAjfgkWLCvplD7A%3D%3D&trackingId=z1unFB7PG5jQHZIYjJzJow%3D%3D&trk=flagship3_jobs_discovery_jymbii,Gemraj Technologies Ltd ,2024-10-27,5,Python and SQL Development
876,Mobile Application Developer,India (Remote),https://www.linkedin.com/jobs/view/4058348681/?eBP=CwEAAAGSzQD5eRLwAInrMmRWRyvwEVk1bYJ1RIEvpB3EpoksODXobac-erKT7Smjqy6-uGJFiTOn2tjDEOr-Qlel_RAaS8yTWFHgO31r00LKIN94ZCTCdKqDfUgrPh_wpAUYjMYHH5262ZDsPFJ3x0r-PAzq9OHH3-HmGwcjKffTaKoaDvtNB8FeEbr5LMQFcntFrE-PImeKhLg62sgA1mbbXJw4QZ3BPub2NqAshyPnPFM42I-VbMto7HOe5ymr2fpdHPZY2dULTO5pwZwkqzeO2aGgiFQqTSFyCYjel0GxtNtIEZabRZayTSwCjfbXAl--F5PJCsB6PS46ynbDEh6863VB-xP8v5hhzMEY9ErrNq6SVtApkuaHeDVOUymFRz-V7ye2DyOmB1QZZpMcNf3q_rYBXiaGO_mwp7T7k3znduGfEubkC-d1XOCGJZhyt5HmM-_4RMdFrYYBH7_97u90LfEnMXZEnLRgto4dWF4DXRnl&refId=rLYCXS8NAjfgkWLCvplD7A%3D%3D&trackingId=p7VdVxdyDWuoudwxXn5e3Q%3D%3D&trk=flagship3_jobs_discovery_jymbii,HighPoints Technologies India (P) Ltd,2024-10-27,3,Development and Research
879,Software Engineering: Full Time Opportunity,"Meghalaya, India (Remote)",https://www.linkedin.com/jobs/view/4058446098/?eBP=CwEAAAGSzQEjosJawJ1BdsTB2oX6kaoGVqizjrToipNePHFeumXQ_6MAG3CNeYm4GunESjP0Sg2wn6yiQbH4xBpHRIVEHALlPylDKHMrqgP-e3xGUAIslbp_ApU_0kr_eDSVIT1SpwxmLGoelfH7eQqV0oFCBWcUvOWbyhJ7Pe2VMEV4Fx6HeNBeCzjl3G3YEb3vWD5MA4ct8JnS_9xlt50XbeHwTOTbSQxoP1l_yBPwN9negm3XUFbRiZ2uQIiKywMd0kjvz9gC680PJZEEiiUvboAyxofULLABBVhLTCq3y_BkQoIT5ci_HPRA6B30y_e1OPia9qnZJV72Re83JGIFXhEBwlDvGaMwVpFwHhMfyMjJV68CB6pu6J-lDaCwVyCZ7VTdnPh97PynBLhA_RUFUz34jM2ZMkHaAMUmMDNfxLGiCoUym2pBAIJzxrtUtlN754cJ5PmerTwY-c2KpI6NSDVVt08qNrcyavaYlWG1JgayB7KcuG0S_Og&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=qehdBJd2FXOQ11yuVtf%2Fcw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
880,Software Engineering: Full Time Opportunity,"Andaman and Nicobar Islands, India (Remote)",https://www.linkedin.com/jobs/view/4058446103/?eBP=CwEAAAGSzQEjorEWXVoTyrGiKathISoouZ6eN8daQDQMDEHNRPUcmXamHffuk-9-HRVbNN5cPlUu24VuKulDZ6T3XwRtm5XvYmWZikrqfSwHv0MIqhcX0ZFs-7J7og-AElqSH26QPZ78b_qVlrZzoQ39BVm4dj-NCRxz98yvUI6hF3SJIyKhxk89LoWzrLFpFszEuXkqavoR_nRRYJxqhyt39v04CWgVUYekrNZLXbGpwSraUhkKLGDxNussWN5TKgCm2ng1R5-XWQ70K6YlSh6KbaQEAY5LtFADNYLsEY8AgL78boqYjQMMBeCec6RsunjAyJZXlN-qixXOAP79Nb4jGXxhzwOgE9ZlNSFMUU4A8uUqDIg09bfrALPJui6QTnPiMFUdzI5RMlcK5FvzPilDCPFjCB3dhqZ0qEAihwEM57RsHrBnRK3MTBkQryrpho-wOkbjKAy9sohjRamEHuaOukXvvfrJAOdMSxBVQEtRVTL66qxXgTYZPhdn0A&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=LSnhYUTqcuW138dxt%2FILlQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
881,Junior Data Scientist,"Pune, Maharashtra, India (Remote)",https://www.linkedin.com/jobs/view/4057431915/?eBP=CwEAAAGSzQEjoilzcWyl1SxBG-Dcc2pznKMv5hOSupMy170btuzYElafu8JE4OChOuayd7HTFzuJ0Lf28LtvadO8roHGz6kUwd9NxknTNr10AaQ46aoy69k8vIG6q7szuhiIRg3gbckLyIchI0Q1nOJc8FNpi2wMpp0XoXEtkY4a7SQLUx1UMpiZ9pzLWI1gsaZB-Im7wiGhSMD32lwtcLQ1G3XUFSeBIgOGyF8Y_PluWJ5dsciEPOlCPjt16dZ9fS5fpjYWnQszV-z4-pUv1tnHIrsL5pLE9zOZBq_VswNH4xzLHgy19NLoQ6KPvC8JiZRJ5RsRmtluePwxlOKvnkrme7hT5mJZHSpMYz3foCOYdlujhnvwhQKA5fi8rdbrnzTPJxfieCj8esGx4bb-h6OEGwJCbVtyYFPTnWgZNen69jxMel3pyTEu4hrhpwHxkPcrcJ_VT17WKgL9OM0yqtyyaJPjMNE&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=DrzLznoAZpz6qh1KEKQPiA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Infraveo Technologies,2024-10-27,7,Data Science
883,Machine Learning (ML) Engineer [1 months NP MAX],Greater Kolkata Area (Remote),https://www.linkedin.com/jobs/view/4042429806/?eBP=CwEAAAGSzQEjokEeF7tksNMLvi8azlHhBQwLiMvMC9Gb5-NdiyAZlcceaGHZ4tdLldNjV-7p3ONVS7M9ybHDKvxcREasW7SoiWN876HGpDRRILFv1qJPiwVQLhvrk7-iRPmZZKpRo_neVGdJA9fIRQx_wYvJpN_l2QtrUVoCKWe4V47r1anQPjtyLnECXYBCNG0RXDXWETu1plMliMNbw4txedvpclwkbHBjOLzV0hsYGfqDLiz8YTlzQKx7jMSk-vmXdieMnB7RiIXm-n2lZyasrW7DBQV7_Zy5vadSNZJzfxs8GO4sRcifMeSq-O90lVnBekzWES7ShiDdRcSKrARx4mlq4hm66cXIM2_nHRfpuHcMoH-_lJchx-X7LIRKkUC_-3qfNt9Zl2R1nuOCU3nvxZIGzU8p1gK2cF6NHOxKTDCeVqSHZscfWNnTYpAQI17sJ8mU0LF0S7VqhHwDlL7bGW59NVW3BNbWF7bXzGU0fL1rTNI&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=J7An1S1AUq02vwKMZvA17A%3D%3D&trk=flagship3_jobs_discovery_jymbii,Luxoft,2024-10-27,8,AI/ML
885,AI Engineer (LLM) (100% remote - Pune),India (Remote),https://www.linkedin.com/jobs/view/4056942644/?eBP=CwEAAAGSzQEjojHcTjjdYXOvkb2FHRVGaXMPLDJBjLAvVNTYlS9UUvAhFntuMS_erd2Lp4Gtp4zq7e6RBwkdLDhcT1DSyWuFslHTU4E56p9HrFWAxkm4i-Nn0l0viJStLbJsQQt-Vn8EtWhqERCMC9tIcdPKwm06d2Az_NUPzjr3SXTq3dvmBBoY72hEiPTbYVDH9juvMSfFaGBW5zB1JQlkM6_TJkYmDXAxazVHo5hhOd6dhCDP9I3rL7JQ6pyAVbVU9LUNXusM4m9795CYeK8IJ4uZs7pOgX53MC5fgg0gIad8v8L853ClVa262guSSHXDvYFg6PXVL12POTWgMSIi5HBD5KPm_qZ-EN-9GiByLTmdDjEkF5oCyu2tla0KM_XT20UWvrz7ijPrdozT4lWprf9Djpcqmc53kD4AJ9J5KlPgptDpQXyUAA&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=x4L5LikbLqtlfGNJctcoLg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Tether.io,2024-10-27,3,Development and Research
886,Growth Intern,India (Remote),https://www.linkedin.com/jobs/view/4059323604/?eBP=CwEAAAGSzQEjo7bkIQSRXZVM-9-JBfmawX2Qrym_FsN_Wvd3VoCN_6cTkfEAVI16dce1WFSi90pYgeKtLfb-z2WjYN59SXjeMTWcx0OLseg7QiASh4YNnVE_jHEt4ijtsSOnA1gwkkxt6CYY6h5FW3ILVPKqO35BN2z78wke-55VB8B65De8OghEAKsUmPcSQzdI5IQOD2X17mQuhmRETqTsZHWlNNBlyslMmw0g1Putl_wEbxURwZPhW44tMN8Tk1YGOTYdKZ1FcQJUsdjVHUZz9wOOQDboFeZmqafCq9DMqKO0_MHSz3ScNUb0VDs0rKY853fdAvUh7aRRywpPS5-Ap4x6hVu7WQTjlVhDXko3ddXCIOCbbHYBoeCmMtxpfmsjSJ-8HeslteDP1iimTXYdtCa4ClJZuSN1_c0M1JgjCaTKL1ZX7fMOMNuVXW_HoSwsF4BSuTU49z0skRmmFZjOL_T0kWyLbJIz&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=alT7VfcMQvx4TLoBS5akRg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Timely Find,2024-10-27,0,Others
887,Web Developer Intern,India (Remote),https://www.linkedin.com/jobs/view/4058650593/?eBP=CwEAAAGSzQEjo0fO3JKk5u86-HoxIsmaY0PUs0bRmyCKzzw07eLUf8M7EvvmcqE6KXrEwGzdelDwqx74z3oAb7ID7Ia9x3Pp-7wddz-kdnkrUM70-zJEAupPvgJuJt8LHisN4b4cITe0iefXdviw4JrVk0hinN-sL8OnQparWwZuZHeSxVO_DfHcVf8eXj_SxVVaUQtSA4hW9kFjSUisRa3k7BQp0Hei7XTC9Q1eS90P7qI26ySVVfW11WqA2odNmVKHRwoq_4bM1yAb0UOrygS46n7zo5oY8umjN1d2pGDOHppb_Hb0B-pDfsQ1qWZpDNOLM7dhKQc-5YDf2OrJDBN-vNNFhiMd2Lzlz5AhQj5Sg2X0uapkaCjMQVjlkcpV9RwpSo1PIqXBwLpij8Ae8O4ihZWCPRb9iXTPOnOaDeFb5hUU6lW5GH451WjBs7dtRoRrkBFtJFX3XkOKYJTcVALgoE81I017GPkePyHo3f7l&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=iuL4dVKpQmFlaG%2Bj8OCQGw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Finding Candidate,2024-10-27,0,Others
888,Software Developer,India (Remote),https://www.linkedin.com/jobs/view/4052141754/?eBP=CwEAAAGSzQEjoyDNn2ilcdgyeSqPbGAcmARj1S9dLhB04YVbGAfA2dixoci_JVw_8woNmZqRKgcbwINee5s8zI2ZgTbnH7sRWFoiaYkxiGYASt_Ueyjegb8oQ1RgriVBRympuhTM5SWq-XUFZt5kONJtvbjLCGLKVg3jz7YhbzOhDPKtE0JTdx18_FHoChF2Q6iVPIB38rF27Wfi1fDEinQ5H1mszJj3x5Hnl3GS1uivg_FJXH8iAUXYWxa5Ctbo9HBiFwm5ttIQ61-YfpM0EJQ3FbkqDFRBHcQ_cPSpJMeofiuxcahXZxs7sUbZnDpxmBk9ttkb1M5520a5rLW5aVpWXlR5_IsxExo8b0hlcSYfei7wvTIkv5fhEnmwkogXh5PaWppoAYwqqHeSDKnsMPm-hqqOtq8oWOwtwa2VqzG39M_3yI3aHWveor78yxdRomtNQ6CdrJqclFqIAg1VbxL0KaqHwodZb3Sw1Gva8L9CPU4OXzhkCbb3sKI&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=nmtjDpO4vtqRIJdf3EWq8A%3D%3D&trk=flagship3_jobs_discovery_jymbii,Smart Working,2024-10-27,1,Software Developer
889,LLM Python Developer,India (Remote),https://www.linkedin.com/jobs/view/4059345117/?eBP=BUDGET_EXHAUSTED_JOB&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=ygrqmAIcTaEIh69qEa1BIg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Marga Consulting LLC,2024-10-27,5,Python and SQL Development
890,"Software Engineer, Emerging Talent",India (Remote),https://www.linkedin.com/jobs/view/4059523171/?eBP=BUDGET_EXHAUSTED_JOB&refId=OCT62kw1YbCV2LGHJs0%2BPg%3D%3D&trackingId=9pIZljWPtAyMrgbrLk%2FykQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Coinbase,2024-10-27,3,Development and Research
891,Software Engineering: Full Time Opportunity,"Telangana, India (Remote)",https://www.linkedin.com/jobs/view/4058440984/?eBP=CwEAAAGSzQFJBKbY56ze8OAwxb-m3zdtc6mzHy_x0kt_LjFwgDRiNCGDqS99H5Xtcbem1qdjKl2SgCa6VJDaggCcHs89qhmzX7NfJqQWY10OGeC-Au8dviZGMceodUy8pjMdCAG5t5D_lhYy6KurLJ7rnPzRawGFbgmSuOJkVVNYUo2yAx_SqAFeQyDeZYwDDMb4T7p8IsBLTIcmMf3f8a5q4LvtWQkfrjdWR-N9dr9QUUgw7sY9W2WKPtPRwjIn_SWD01HnBAyhX5duakQMl6btGnThjvY-TMJWOb0hVxyHWWtMa1o3i3JhAKcjcjIT2FybFzhGNaSKGguFkT3kUp20PB08-1LVmXWLbJPRQdBgcQJd5q03_VHNDZUV96A5ICihX7Nm9KwVqCXTyqP7UMJ_zD6AwYC4C983vee5SnHRfuMXAVOLl9DdYeto738UuNISRIxyTCrgSAz1WwXLGe8BAzHMR6phoBVADhSasN-SiWyBVoruZ63676lhb5bx&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=ca4o%2FuBMv7Orbq7hfQYw%2BA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
892,Software Engineering: Full Time Opportunity,"Jharkhand, India (Remote)",https://www.linkedin.com/jobs/view/4058443701/?eBP=CwEAAAGSzQFJBLmO8cyBqqa10AKwW0WU6PicLF2gEsTUD9_VmFDsvEoOSZU-5BAIy7Cd7Oxk3_6R3vgF5K_Q56DxJi2qHis-O54c3cY6dhrSPp2p3lmR0S9Qcd8RiIU7r9A37zeEr3mrmWHd8aQ-OmSvzKjvNLT8nyoRWWdOY2kQ526xo6wQk_l0VZlyQlFzBa268_xxVe0PkNy4SNwvnlwaRmY21SaBxHvn59ZrxnhvY1KH1SqEMkn1dStnDeUaJpSfKDt1L6yAn3vd5FVSQCECuDPGyW6YWySYt4G86m-qVFu6vtFPJJPh5bCVzFRS6cjx1wrmmA5fBjEe5sZ0vG4Fq-1TPGWDZ3ch9ELCRw9ZCk4pyDwzMNWnaLWNdkaKdecUHp1-fQtCInOOLShc1Gwaplblc7THvXKS9WYnsaBD7aPykaZtHJpOsOzZ1LhkqWpuDu-pprsEs5veLh_soHWR_AZLpNqdbNkHhlXRIwkcMUOr_5za4OrujfRdIdRuHNA&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=8sbexb5iTlX4FFqqLFAsWA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
893,Junior Data Scientist,Mumbai Metropolitan Region (Remote),https://www.linkedin.com/jobs/view/4057439214/?eBP=CwEAAAGSzQFJBMtiqe9IvYrPAkfs01fJiUnz_ZJgIV9HZ-ewOtXq_40KywWSWrYEnxfLpAY15qS8VQ4lyft1996fCsG_a6PaUPQbQYdLnGOF_4AQ7rnoa5cuKuCDttP-ZOFSRBjxtbtxHc15ZgqcyGPtypxvk7E9Ji5U2K88FdGhCuQ-n0I6vA9tFybV3SgPiWv8Hp-iKWkEZgslBNBlh1jKaMa9yp7GIbOh8uFdiy3QHzxXrA5qN-9F2WfbrY0oS69QI0_Y1IFbHgu6wAqsToDw1j8CoB0CF8MhKy93Wx0Dnq1itXm8Hdojr5162dmkJ574G-qRpBLXqazrZ3-XQ8VM6KgdKwVWU_uVumyOJLLM7YAdui1gQbc5YXz_b3Wb8pdB3apXvL5n8jVmXVpjTAvPsHbtoUDin-jc5Be2iLnttSwEM-NqrnDraRq_69Y9lOdXuDRSj38VvfvsiFAhANqb4hPO_FwbwoZrF40&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=eNRHc858SNKJdjPkUOrlmg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Infraveo Technologies,2024-10-27,7,Data Science
895,Python Full Stack Developer,India (Remote),https://www.linkedin.com/jobs/view/4043553151/?eBP=CwEAAAGSzQFJBJjEwjJfYUAwt2tf_OGTTdmGBXMcVhG57HaXu6jq6oPnouAhtxfMCx3P1JMNDZ4PLs81pPm-d3xalns0KNnyv6AoJ_OrKsRk-lol71IMIQNX52AtX8cEjL5z3tWdrtA3JzdUWct6nh8CYqUq_8XGavG4dXjMPWgdoRq0P9hKCdhjfe_xJXpSPbRcryiZo5VAHMt0wdtN8ZLLO-QKBQ4D3scaXvpHJacLXmaYorab-G0UeCxqheonzjDrteR_pPmS4Rqt9AJXPgbF0OrNo0mINn1QbZXs6INkj6dP-Uo7OKKkidAJ0-GftW0WcuwnEGmhkBWEn6y9WnxnuzCBZGNU9zGWlFndozGBQX7fuMw8rkFVt-tSfeCZJ4qTfa58jbX7DyeSTSUdhonc5XLFzr0M0cZmKayFi8clP7sO-eJL2yQUf4zpuphdX4JkmBbwXXv42-hVVPcWKX-VrH7saJDNqd4656oklqhAgNrEViAQiw&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=8E%2FKHsxs9BwkdXOfsuFU%2BQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Ericsson,2024-10-27,5,Python and SQL Development
896,Prompt Engineer,"Noida, Uttar Pradesh, India",https://www.linkedin.com/jobs/view/4057426614/?eBP=CwEAAAGSzQFJBHO2KhuUpcN3cmgLJcKU_scODOsz12Ld7JBszWhxvXhEDSzGkfRHRr2Nf2Fwp2gBKJqiDtV-9cb7JfphEnd8tcm4pGGF3GRukBNgHJ73xYlE_JZ8r0v8CmwCZnsPLtSbKtwuMXcWZKvdXsLg2wxzsoASRJ11znxhDyeuynBD5bvY85Sen2bqqjJBIvaPXJkivnvo9s8fYqI7x_K-CtNwrvaEs52fIXwqv9i99JvCrAs4CemjCw6q6AfYfNXf6b4h81-b_TPGM_iFGgU8osUywhpsFQSYwlTOMfIUHGJgrUuOc7-9cfpeWkjEXnoH436tIhgqsEsNZMNFCBNd4SBYXLDnWX2F2ARQUzSFURzVuBKq3v2GyNqOP367UrQez_8zViDSBJq9NTYxAlbN-7PufLfIHdfQ20CoYxQUFn4g6kidMQpMt44&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=GdYyjW4z3v62a5vNIbxMxA%3D%3D&trk=flagship3_jobs_discovery_jymbii,CELEBRITY WINGS ENTERTAINMENT LLC,2024-10-27,3,Development and Research
897,Junior Backend Engineer,Mumbai Metropolitan Region (Remote),https://www.linkedin.com/jobs/view/4057435250/?eBP=CwEAAAGSzQFJBI4DViItSPvgicVHI6t-gFx9jkmDWEHa-HyVN7YDmib8axpcu6e9nt7Zaxdyl9Pb_KcC6jDmyJ0_ZzDtEnoj0E8aPKL9nvrtL-x-GaOY4q3w2h2L871agWgoH457g8wYPPv-6_9IDRyxfwSSu9a_keumh2m4osF9-8oI8k5OI8pyQOzbqTIkhhyerATI-JjDWY4A7QC1qt6GAQdXwC_u-kMQF-HWZYzREuItY-1kvAfE2nG9zroy55A0ZkkV6X723sMM1V0K2pNCTB4eTk9ozZtbuaEMCmEbkOnFPKLZk7TAk89-sv6nzAgch6l-_M5d5f19jcuLm8UNQp6olre8ishLyEhUIrhjhOxTfido08BbWfWdxD6SY8OD7Hb6QcYTLxNbvHufBUulrz88JSNdEnyKQIjw-Q0P9JYQEU0KDAwD_WJK6OE&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=lBraLFZZjqaawsbYCPzorw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Infraveo Technologies,2024-10-27,7,Data Science
899,Python Developer,"Delhi, India (Remote)",https://www.linkedin.com/jobs/view/4059332305/?eBP=CwEAAAGSzQFJBbrOKiONL1o6Y_q7J9e892a_uUSAGjf-LE7y6_aASekHLbFI2zwgPa09SyOMXIwC_YMLvT4paLZJQSRIYJzK24Qs5MBeoCw48uxeTZ2XBH656UgPaoddKRsfC0ErLaLLmNkFMnNtyJW1r0FyprmA4AJ05u2p_QmhZwHZJsletASxyTMfpUlEZRoW4vGNF3trQ8YSssStVhKgreck-3PSnjPNNN1gPUg133YNfDwcmw0aFSTs5bpjxlIHqEO4Q_hXW_iwFOcfGcZOqA9A8nWGAs_XLoUjVKwqu5C3dtYa9hcaYF1hM5fU-XQqqfC-iVpnBue9MEV9r364HsaLxsEIGq3Hsx1X3xCUbL9YyyUoLxyakhZVVpekNXr_uKkziwFYtXWbCKZxzJKP1MAM1KLcEG83-Zva2kGRQMXTQYDA_4Yne08Lv--JuTYoT6JbvGsWnXSDHToMdRIRy0ibUtR86QqQp7L8YNHy&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=5dbzfNrbJW11zJpaNCeR8A%3D%3D&trk=flagship3_jobs_discovery_jymbii,VirtueVin Solutions,2024-10-27,5,Python and SQL Development
901,"Software Engineer (US, remote work)",India (Remote),https://www.linkedin.com/jobs/view/4056044272/?eBP=CwEAAAGSzQFJBZIsdwiWjZz7AEkWn-BPxwn1m3PCmPCWfvOzqkoBulQgFZspzv8zKF7BDNskKKcy87MOjwQ8eDkx-w4GaZ6PghC3mk0zMlEkH89Rl07xl8i4BUUo6O_Kp3iUFPbi7cwAyT9GoCkwIVhYTqLT-FEVz6FiGjeg2EoXas2DorA_LzLhjaDR98OKXHFD4YbxeOK0kHyzM3xKd5xfD6PJpsXW85nxChNIQB1-ANTqwtXUjt6uv4Fz6TLHIZ_1m42J2JfGaDseOfHlV6jktjbRVwsZXcGVQZ8O6cKaxa0bD6YV3LjDUk45zrlJV3xdwtFnUudPNN8NtACW7o6CIKKJrB6smwZKsRcIFTtPdPf84c4xq9Eh3_qBMAwH58Vwsd4U933Rnpvtyy1MJPBniFufDWC3z6rYnBz5DVTi5gSkTPVwANengmmWoiXCmaQ038DceuuKsYjqNj8CbZQUa-q-c8wdsZLVQzrMZ33wN3l2uya0hkQItqjvnByK8DM&refId=ExTbLu1Mwwo8GIJvX%2F%2FjLg%3D%3D&trackingId=Be%2BEKw9baOtHpxcZojjIiQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Outlier,2024-10-27,1,Software Developer
902,Software Engineering: Full Time Opportunity,"Kerala, India (Remote)",https://www.linkedin.com/jobs/view/4058440985/?eBP=BUDGET_EXHAUSTED_JOB&refId=4N4akPml9Zh2C6z28l78YQ%3D%3D&trackingId=VcHh5imcJw51nHEIBzAnow%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
903,Software Engineering: Full Time Opportunity,"Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4058443778/?eBP=BUDGET_EXHAUSTED_JOB&refId=4N4akPml9Zh2C6z28l78YQ%3D%3D&trackingId=EpNHccBz5juoxtWnnKAkJw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,2024-10-27,6,Software Engineering
904,Python/Django Developer,"Delhi, India (Remote)",https://www.linkedin.com/jobs/view/4057426725/?eBP=CwEAAAGSzQFezHxd8CvqgplE3zkvyu25eTKMgUL-V0ItK0i7Hn9eVDbrJpbN70Z_pkmTbVuYZYS3Gl2Lv8Q5fTG6Dm6p36l2eG6tNggdaNv2fFZqhWTROoszjgy6juSvcjZF75nKpPZ4IMnBG6pB2OQmxrjPfMPCr6oAlJfi0bB7209Y96jjlouq0q2AX5bObJ64UDhi52hbksacYeoXT6vMpnbigACS5hVs5uJ1IIbHegcwC8spyhxsvRFDdVDWPL38Ahs4IdBVO5zgvf9gXbO8Nmsyz3dIwBHzcXROrY52CDIYoGXO3mNlVPiMOFZoLauA2k4_3qDQUyPeb1l9W8IWsgbga5LPQ4yRXftrYXJCNYt2BOYsKvzNAId94eQizLoiu-wiUS2s3FrUwA3A6qJPUCIGj3TabE3-B2BJ0bPCXAyOIEScI8E&refId=4N4akPml9Zh2C6z28l78YQ%3D%3D&trackingId=YdHMZlhmuKVse26nHn3%2Bpg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Infraveo Technologies,2024-10-27,5,Python and SQL Development
906,Python Developer,"Pune, Maharashtra, India (Remote)",https://www.linkedin.com/jobs/view/4059060885/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4N4akPml9Zh2C6z28l78YQ%3D%3D&trackingId=HlkIEwIBPqGQbNTkWVL0ew%3D%3D&trk=flagship3_jobs_discovery_jymbii,Collabera Digital,2024-10-27,5,Python and SQL Development
908,AI ML Engineer,India (Remote),https://www.linkedin.com/jobs/view/4033305075/?eBP=CwEAAAGSzQFezLDmkXOTh4YRztdBegvcwj97kPBVF2m_lF6q1JkIKDR0lnBK8SVUV3rNZ0Q89Q98uNpXXzpDGxADoSyZ8LG599ytDS3Dgs1R6Gris1JNgFDKdqQN1UmtZnEju5c2JjrpBsT-3U4PFhINxAauTbU057iRrZCntXXspL6_z0RLtJXAkoeFTlUwpwgVVAAwNwfW1cW4BWwc-LGp3IPq84OW4ODkyvCZ3bjWIzSqRJyBGvCoiHgqJMolnhQKjn3PkC0sNIZD-p0YAYkdT2vADxHo7-jQsuAV_ONMCahuZuP1MOwOOoB3oQCJLA2BGiFMw-EHcL0lYbEEdkyS9-vy9jPzBLkysK0UBsTyKfg1cuQVVXUhpCdqeL9Kb8f7oFkwttQjo-EkuEJhfMNocQ8h_F1-vK22hvuMcbT6e5e8QR0BN2LyAkccaZRjv-KZR44QHmswzaYJx6xA7ecvMS5MfT1fdJ8mfS981knreA&refId=4N4akPml9Zh2C6z28l78YQ%3D%3D&trackingId=C2OQubnKRW5He0zLJ5d%2FGA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Programmers.io,2024-10-27,3,Development and Research
